Country,Question ID,Response,Justification,Supporting0,Supporting1,Supporting2,Supporting4
Argentina,ODB.2013.D1.a,1,,"There are various agencies that display mapping data, but the two mayor providers would be the Instituto Geográfico Nacional (1) and the Instituto Nacional de Estadística y Censos (2). 

##Sources:

(1): http://www.ign.gob.ar/
(2): http://www.indec.mecon.ar/",,,
Argentina,ODB.2013.D1.b,1,,"IGN provides a series of maps in shapefile. INEC provides shapefile but users must be registered in their site.

(1): Instituto Geográfico Nacional, http://ign.gob.ar/argenmap/argenmap.jquery/docs/#1, Accessed on September 29th, 2014
(2): Instituto Nacional de Estadística y Censos, http://www.indec.gov.ar/codgeo.asp/, Accessed on September 29th, 2014",,,
Argentina,ODB.2013.D2.a,1,,"The land ownership data is collected by the land registry office in each province and there is also the Consejo Federal del Catastro that, in some way coordinates all these offices. Many of the provincial offices has online information but is only accessible for registered public notaries, surveyors and authorized public servants and public bodies.",,,"(1): Catastro Tucumán, http://www.catastrotucuman.gov.ar/AccesoWeb.htm, Accessed on September 29th, 2014
(2): Consejo Federal del Catastro, http://www.cfcatastro.com.ar/inicio.aspx, Accessed on September 29th, 2014
(3): Dirección de Catastro de Córdoba, http://dgc.cba.gov.ar/CDC/PageHome.aspx#&panel1-2, Accessed on 13th May, 2014
(4): Solicitud de información catastral, http://portaldetramites.cba.gov.ar/ver/servicio/388, Accessed on September 29t, 2014"
Argentina,ODB.2013.D2.b,0,,"(1): Catastro Tucumán, http://www.catastrotucuman.gov.ar/AccesoWeb.htm, Accessed on 13th May, 2014
(2): Consejo Federal del Catastro, http://www.cfcatastro.com.ar/inicio.aspx, Accessed on 13th May, 2014
(3): Dirección de Catastro de Córdoba, http://dgc.cba.gov.ar/CDC/PageHome.aspx#&panel1-2, Accessed on 13th May, 2014
(4): Solicitud de información catastral, http://portaldetramites.cba.gov.ar/ver/servicio/388, Accessed on 13th May, 2014",No,,
Argentina,ODB.2013.D4.a,1,,"There is a quantity of statistical datasets in Argentina collected by the Instituto Nacional de Estadística y Censos (1). Even though these data in not available in open formats. Some economical datasets have been observed more than once by international institutions such as the International Monetary Fund. In this case the IMF has issued a declaration of censorship and called on Argentina to adopt remedial measures to address the quality of official GDP and consumer price index data.

##Sources:

(1): http://www.indec.mecon.ar",,,
Argentina,ODB.2013.D4.b,1,,"Census data (1)
(1): http://www.censo2010.indec.gov.ar/

Economic census (2)
(2): http://www.indec.mecon.ar/economico2005/inc_presenta.asp",No,,
Argentina,ODB.2013.D5.a,1,,"There is data which is in charge of the Oficina Nacional de Presupuesto (1), that has place in the Secretaría de Hacienda, a part of the Ministerio de Economía y Finanzas Públicas. However, since the data is contained in written documents, it is really hard to obtain it.

##Source

(1): http://www.mecon.gov.ar",,,
Argentina,ODB.2013.D5.b,1,,"(1): Oficina Nacional de Presupuesto, http://www.mecon.gov.ar/onp/html/, Accessed on September 29th, 2014",No,,
Argentina,ODB.2013.D6.a,1,,"There is data on government spend at the Oficina Nacional de Presupuesto, that has place in the Secretaría de Hacienda, a part of the Ministerio de Economía y Finanzas Públicas.

The Instituto Nacional de Estadística y Censos counts with more detailed data, according to the categories determined by the law of budget.",,,
Argentina,ODB.2013.D6.b,1,,"Since the data is contained in written documents is really hard to obtain it (1). There are some more detailed reports but they are complete to 2009 (2).

(1): Oficina Nacional de Presupuesto, http://www.mecon.gov.ar/onp/html/, Accessed on September 29th, 2014
(2): Oficina Nacional de Presupuesto, http://www.mecon.gov.ar/peconomica/basehome/serie_gasto.html#, Accessed on 13th May, 2014",No,,
